sample,station,lower_filter_size,Ocean_DNA,Ocean,Depth,Longitude,Latitude,Salinity_PSU,Temperature,Oxygen_DNA,WATERMASS,Basin,Sequencing_depth_Gbp,DNA_biofilm,DNA_transposase,DNA_CAZyme,DNA_peptidase,DNA_secretory_CAZyme,DNA_secretory_peptidase,DNA_Lipid_TM,DNA_Coenzyme_TM,DNA_Signal_transduction_mechanisms,DNA_Defense_mechanisms,DNA_Energy_production_and_conversion,DNA_Replication_recombination_and_repair,DNA_Cell_wall,DNA_Amino_acid_TM,DNA_Cell_motility,DNA_Extracellular_struct,DNA_Cytoskeleton,DNA_Carbohydrate_TM,DNA_Inorganic_ion_TM,DNA_Nucleotide_TM,DNA_Chromatin_structure_and_dynamics,DNA_Cell_cycle_control,DNA_Intracellular_trafficking,DNA_Secondary_metabolites,DNA_Translation_ribosomal_structure,DNA_Transcription,DNA_Posttranslational_modification,DNA_Mobilome_prophages_transposons
SRR3968777,7,0.2,North Atlantic,Atlantic,-4005,-23.45,21.51,34.8951,2.0182,228.6143,NADW,Canary basin,3.54,8.686440677966101e-05,0.002398008474576271,0.008686949152542372,0.016606694915254235,0.0009940254237288135,0.00304864406779661,0.019407838983050846,0.02356173728813559,0.014011271186440678,0.007467966101694916,0.027725,0.019100805084745764,0.020222627118644067,0.03804338983050848,0.006279279661016949,0.0018238559322033899,0.0001236864406779661,0.019122754237288136,0.016972838983050846,0.01155135593220339,0.0003515677966101695,0.006040677966101695,0.0058175,0.01025042372881356,0.030334152542372882,0.01325978813559322,0.018038135593220338,0.0064461440677966095
SRR3968770,7,0.8,North Atlantic,Atlantic,-4005,-23.45,21.51,34.8951,2.0182,228.6143,NADW,Canary basin,3.46,9.416184971098266e-05,0.003084884393063584,0.004560476878612717,0.00592014450867052,0.0005995231213872833,0.001156864161849711,0.0077695231213872834,0.008927037572254335,0.011475043352601156,0.004283236994219653,0.013065,0.008989898843930635,0.011241502890173411,0.019359754335260115,0.003666242774566474,0.0011879913294797688,4.105491329479769e-05,0.00836085260115607,0.009533627167630057,0.004549595375722543,0.0001259393063583815,0.0030784248554913294,0.003047991329479769,0.003721907514450867,0.01255920520231214,0.007319132947976879,0.00809171965317919,0.006784378612716763
SRR3967905,10,0.8,North Atlantic,Atlantic,-4002,-26.0,14.52,34.8948,2.0429,216.9404,NADW,Canary basin,2.03,8.076354679802957e-05,0.0021094581280788178,0.0050287684729064044,0.0064361822660098525,0.0006783990147783252,0.0013968472906403942,0.008440935960591135,0.009370197044334977,0.009621945812807882,0.004194162561576355,0.013146650246305422,0.008863743842364533,0.011200788177339903,0.01965435960591133,0.0032131034482758623,0.0011398522167487685,3.982758620689656e-05,0.008377906403940887,0.00952987684729064,0.00461564039408867,0.0001115024630541872,0.003391625615763547,0.0028075123152709364,0.003982906403940887,0.012407955665024631,0.006997093596059115,0.007701133004926109,0.005763768472906404
SRR3968061,10,0.2,North Atlantic,Atlantic,-4002,-26.0,14.52,34.8948,2.0429,216.9404,NADW,Canary basin,1.52,8.141447368421053e-05,0.0018589144736842105,0.009970657894736841,0.01841733552631579,0.0012400657894736842,0.004208782894736842,0.020228190789473684,0.024709736842105263,0.014126644736842104,0.007621875,0.030123256578947367,0.020465822368421052,0.02152154605263158,0.041526019736842106,0.0062411842105263154,0.0018910855263157896,0.00019292763157894736,0.019854177631578946,0.01780657894736842,0.01292921052631579,0.0003834868421052632,0.0067831578947368425,0.005908421052631579,0.010443059210526316,0.03314585526315789,0.013554375,0.019563059210526316,0.004959375
SRR3968063,13,0.8,North Atlantic,Atlantic,-4003,-26.0,7.33,34.8901,2.0165,231.2535,NADW,Canary basin,3.4,0.00026625,0.0061936764705882354,0.013056000000000002,0.019844117647058825,0.0019353088235294117,0.00571614705882353,0.022245264705882353,0.024630397058823528,0.030742014705882354,0.012964720588235295,0.033822485294117646,0.025219720588235295,0.029558470588235294,0.04413644117647059,0.011026235294117647,0.0033788382352941174,0.00014545588235294115,0.023474867647058823,0.02755279411764706,0.01248860294117647,0.00037305882352941177,0.008789073529411764,0.008237779411764706,0.010865823529411765,0.03381225,0.020553705882352943,0.02272314705882353,0.014578191176470589
SRR3968062,13,0.2,North Atlantic,Atlantic,-4003,-26.0,7.33,34.8901,2.0165,231.2535,NADW,Canary basin,3.5,0.0001389857142857143,0.003393514285714286,0.01021847142857143,0.017550942857142857,0.0013567285714285713,0.004148185714285714,0.01967832857142857,0.023528657142857144,0.019485342857142856,0.009143142857142858,0.029526985714285716,0.021301757142857144,0.023653885714285717,0.03988881428571429,0.007461728571428571,0.002295085714285714,0.00015724285714285714,0.01973232857142857,0.020414314285714285,0.012056357142857143,0.0003759857142857143,0.0073949571428571425,0.0065494285714285715,0.009796371428571428,0.032034042857142855,0.01572317142857143,0.01958297142857143,0.008415942857142858
SRR3968060,17,0.8,South Atlantic,Atlantic,-4002,-27.33,-3.03,34.8676,1.7369,236.0128,NADW,Brazil basin,3.17,0.00011413249211356467,0.00368006309148265,0.00633435331230284,0.007621182965299685,0.0007738485804416404,0.0017455362776025239,0.010449132492113565,0.010533738170347003,0.013242350157728707,0.0058909305993690856,0.015926261829653,0.011061435331230284,0.014088927444794952,0.021859826498422715,0.004169716088328076,0.0014679179810725552,5.0630914826498424e-05,0.009816104100946372,0.012375993690851735,0.005208028391167192,0.00014545741324921137,0.004072570977917981,0.0037291798107255522,0.0046341955835962146,0.014440741324921137,0.00995403785488959,0.009612350157728707,0.008623249211356467
SRR3967700,17,0.2,South Atlantic,Atlantic,-4002,-27.33,-3.03,34.8676,1.7369,236.0128,NADW,Brazil basin,3.92,4.809948979591837e-05,0.0015697576530612246,0.004569872448979592,0.008009426020408163,0.0005338392857142857,0.0017011224489795918,0.009382882653061224,0.010794642857142857,0.00772515306122449,0.003989272959183674,0.01343797193877551,0.009459375,0.010573622448979593,0.01867978316326531,0.0031509566326530613,0.000977984693877551,6.321428571428572e-05,0.00900516581632653,0.008727551020408163,0.005430994897959183,0.00016098214285714286,0.0032003188775510207,0.0029373214285714285,0.004802640306122449,0.014136466836734694,0.006751454081632653,0.008723839285714284,0.0036951658163265305
SRR3967699,20,0.8,South Atlantic,Atlantic,-4001,-30.19,-9.12,34.8447,1.5802,227.6145,NADW,Brazil basin,2.58,6.61046511627907e-05,0.003440930232558139,0.004512325581395349,0.0060475,0.0005493023255813953,0.0013331395348837208,0.008757325581395348,0.009067558139534884,0.010243372093023256,0.004615988372093023,0.013772906976744185,0.009193255813953487,0.011544593023255815,0.01870639534883721,0.0033894186046511624,0.0011013372093023257,4.296511627906977e-05,0.008587151162790697,0.010357209302325582,0.004486453488372093,0.00011825581395348836,0.003223488372093023,0.0031094767441860465,0.004084418604651163,0.012490755813953489,0.00790203488372093,0.007978139534883721,0.008041744186046512
SRR3967690,20,0.2,South Atlantic,Atlantic,-4001,-30.19,-9.12,34.8447,1.5802,227.6145,NADW,Brazil basin,3.64,7.096153846153846e-05,0.0027217582417582414,0.008122747252747253,0.015173241758241756,0.0008529395604395605,0.002649601648351648,0.01816706043956044,0.02205568681318681,0.013124711538461538,0.007330755494505494,0.02608928571428571,0.018741758241758243,0.020004354395604395,0.03590233516483517,0.005656071428571429,0.0017266071428571428,0.000115260989010989,0.017584656593406592,0.016250233516483515,0.01097620879120879,0.0003327197802197802,0.006126923076923077,0.005705521978021978,0.009261057692307692,0.029012637362637362,0.012940631868131866,0.016907554945054946,0.00669103021978022
SRR3967558,23,0.8,South Atlantic,Atlantic,-4003,-33.41,-15.83,34.8269,1.4542,223.0178,NADW,Brazil basin,4.24,4.337264150943396e-05,0.0024701533018867926,0.0037747287735849055,0.005134033018867924,0.0004865448113207547,0.0010409080188679245,0.007426096698113207,0.00779193396226415,0.008092393867924529,0.0034510613207547167,0.011242040094339623,0.007250341981132075,0.00914943396226415,0.015986603773584906,0.002731308962264151,0.000909941037735849,3.6084905660377356e-05,0.007166179245283019,0.0078738679245283,0.003726403301886792,0.00010234669811320754,0.0025583490566037734,0.002460176886792453,0.0037966627358490563,0.010167346698113209,0.005886650943396226,0.006453891509433962,0.005762193396226415
SRR3967319,23,0.2,South Atlantic,Atlantic,-4003,-33.41,-15.83,34.8269,1.4542,223.0178,NADW,Brazil basin,5.08,5.123031496062992e-05,0.002004035433070866,0.007065413385826772,0.013707490157480315,0.0006592913385826772,0.0021702460629921256,0.01809543307086614,0.019962844488188976,0.010640551181102362,0.006347627952755906,0.024720059055118107,0.016134596456692914,0.017282864173228347,0.03539134842519685,0.004915216535433071,0.0014579527559055118,0.0001002755905511811,0.016511574803149607,0.014078001968503938,0.009440551181102362,0.00026905511811023625,0.004905177165354331,0.005045314960629921,0.009783277559055118,0.024050846456692913,0.010221702755905511,0.014867923228346456,0.005729557086614173
SRR3967025,26,0.8,South Atlantic,Atlantic,-3907,-36.95,-22.97,34.7347,0.5836,208.8818,WSDW,Brazil basin,3.39,8.221238938053097e-05,0.0028100442477876106,0.006577123893805309,0.007823716814159292,0.0008649557522123893,0.0016049999999999999,0.011613362831858407,0.010847389380530972,0.012188274336283186,0.00612933628318584,0.01665212389380531,0.012240530973451328,0.014791858407079646,0.021449911504424775,0.004217522123893805,0.0016763274336283186,4.358407079646018e-05,0.010396061946902655,0.013193761061946902,0.005387699115044248,0.0001557079646017699,0.004991061946902654,0.004126283185840708,0.00507353982300885,0.01517796460176991,0.010379115044247787,0.009833097345132743,0.012353185840707964
SRR3966130,26,0.2,South Atlantic,Atlantic,-3907,-36.95,-22.97,34.7347,0.5836,208.8818,WSDW,Brazil basin,3.2,9.609374999999999e-05,0.0024545624999999997,0.008542171874999999,0.015593390625,0.0009055781249999999,0.0031817343749999997,0.0196685625,0.021311390625,0.014624390624999999,0.008015390624999999,0.027648421875,0.018839296874999998,0.021410812499999998,0.037736765624999995,0.006013874999999999,0.0019220625,0.0001423125,0.017616046875,0.017700609375,0.010963546874999999,0.00032878124999999997,0.006332343749999999,0.00620240625,0.009711093749999998,0.028379625,0.013572890624999999,0.017333578125,0.00653296875
SRR3965676,32,0.8,South Atlantic,Atlantic,-3199,-21.43,-26.91,34.9003,2.2513,230.77599999999998,NADW,Brazil basin,3.15,0.0001559047619047619,0.002074047619047619,0.005303809523809524,0.007431095238095238,0.0007057619047619048,0.001705095238095238,0.013203285714285714,0.01089804761904762,0.01367595238095238,0.005973571428571429,0.015669714285714283,0.011296047619047619,0.014431761904761906,0.019798333333333334,0.0042601904761904764,0.002087904761904762,0.000245,0.009289047619047619,0.012266904761904764,0.005057904761904762,0.00013476190476190478,0.004293333333333333,0.004630047619047619,0.006129952380952381,0.014626952380952383,0.010721047619047618,0.009884333333333334,0.005984904761904762
SRR3965592,32,0.2,South Atlantic,Atlantic,-3199,-21.43,-26.91,34.9003,2.2513,230.77599999999998,NADW,Brazil basin,3.1,0.00019712903225806448,0.0022718709677419353,0.008790532258064516,0.01527808064516129,0.0010424032258064516,0.0029648709677419357,0.022775370967741935,0.021363774193548388,0.01535516129032258,0.00867798387096774,0.026949629032258064,0.018803129032258063,0.021300967741935482,0.03513904838709677,0.006361451612903225,0.0026990806451612902,0.00011312903225806451,0.016549645161290323,0.018510725806451613,0.00968366129032258,0.0002549032258064516,0.005958532258064516,0.006839903225806451,0.011222903225806453,0.026185983870967742,0.014301435483870967,0.016783935483870967,0.006594677419354838
SRR3965875,35,0.8,South Atlantic,Atlantic,-3662,-11.8,-28.62,34.8613,2.0761,220.6555,NADW,Out of basins,3.14,0.00014861464968152866,0.001913264331210191,0.004786098726114649,0.006338168789808916,0.000642420382165605,0.0015404617834394903,0.01171858280254777,0.00944187898089172,0.010944745222929935,0.004987643312101911,0.013523550955414012,0.009406480891719745,0.012263598726114648,0.017134633757961783,0.0036847929936305733,0.0018439968152866241,9.248407643312101e-05,0.008408933121019107,0.01088751592356688,0.004304283439490446,0.00011589171974522293,0.0034221496815286623,0.003951831210191083,0.005513073248407644,0.01215563694267516,0.009252420382165606,0.00808404458598726,0.005291273885350318
SRR3965874,35,0.2,South Atlantic,Atlantic,-3662,-11.8,-28.62,34.8613,2.0761,220.6555,NADW,Out of basins,2.48,0.00018018145161290323,0.0017682459677419355,0.008832278225806452,0.01528469758064516,0.0009981653225806452,0.002742399193548387,0.02207897177419355,0.022373165322580643,0.01414336693548387,0.008124314516129032,0.02781858870967742,0.019143326612903227,0.02150758064516129,0.03730778225806452,0.005735262096774193,0.0024530443548387098,0.00010215725806451613,0.01680883064516129,0.017796592741935485,0.010776895161290323,0.0002898991935483871,0.006224153225806452,0.006557116935483871,0.010715866935483872,0.028782580645161288,0.014124858870967743,0.017093709677419355,0.00540991935483871
SRR3965647,41,0.8,South Atlantic,Atlantic,-4001,6.84,-31.81,34.8047,1.4922,205.7978,NADW,Agulhas-Cape basin,1.34,8.361940298507462e-05,0.0015722014925373135,0.006125149253731343,0.0071636194029850745,0.0005948507462686567,0.0013432835820895521,0.014271828358208954,0.01183276119402985,0.010304664179104476,0.005325783582089552,0.017226268656716417,0.01144007462686567,0.01440436567164179,0.023403470149253727,0.0031480970149253733,0.0015305597014925374,6.425373134328358e-05,0.011420708955223879,0.011711305970149253,0.005521791044776119,0.00015123134328358208,0.0041284701492537304,0.00397410447761194,0.0077590298507462675,0.014801977611940296,0.010296044776119402,0.00956026119402985,0.004789477611940298
SRR3965758,41,0.2,South Atlantic,Atlantic,-4001,6.84,-31.81,34.8047,1.4922,205.7978,NADW,Agulhas-Cape basin,3.22,0.00014152173913043478,0.0014959472049689442,0.009168307453416149,0.017190745341614907,0.0009876708074534161,0.003414316770186335,0.023656397515527946,0.02410173913043478,0.012980357142857142,0.008354534161490684,0.03064807453416149,0.02092672360248447,0.022808478260869566,0.04140284161490683,0.005604363354037267,0.002194332298136646,0.0001564751552795031,0.01871031055900621,0.018330559006211177,0.01223841614906832,0.0003622826086956521,0.006756987577639751,0.006815310559006211,0.011837375776397515,0.03183773291925466,0.014383136645962732,0.019038819875776394,0.004969518633540373
SRR3965809,43,0.8,South Atlantic,Atlantic,-3900,12.7692,-32.8128,34.7503,0.9196,199.2961,WSDW,Agulhas-Cape basin,2.46,3.695121951219512e-05,0.0017722560975609756,0.007078536585365854,0.007278170731707318,0.0005117682926829268,0.0012549390243902438,0.016491341463414633,0.01261609756097561,0.010645853658536587,0.005580304878048781,0.017523353658536585,0.012082378048780488,0.014180975609756096,0.022397682926829268,0.002806768292682927,0.0013240853658536586,4.01219512195122e-05,0.013627134146341462,0.012292560975609757,0.005428963414634147,0.00018987804878048783,0.004342987804878049,0.0032983536585365855,0.010743658536585366,0.013829695121951218,0.012102439024390245,0.009445731707317074,0.005417682926829269
SRR3965873,43,0.2,South Atlantic,Atlantic,-3900,12.7692,-32.8128,34.7503,0.9196,199.2961,WSDW,Agulhas-Cape basin,3.39,8.699115044247787e-05,0.0012282300884955753,0.008937787610619469,0.01840800884955752,0.0008660619469026549,0.004125486725663717,0.023076150442477874,0.024384159292035395,0.011745442477876105,0.00781495575221239,0.03187327433628319,0.02144938053097345,0.022547433628318583,0.04432079646017699,0.005311814159292035,0.001889646017699115,0.0002327433628318584,0.019429601769911504,0.01789774336283186,0.013422566371681415,0.0004363716814159292,0.006908407079646017,0.006427699115044248,0.011475176991150443,0.03355818584070796,0.013899778761061948,0.019879734513274336,0.004352212389380531
SRR3965585,50,0.8,Indian Ocean,Indian,-4002,39.89,-33.55,34.7402,0.851,199.1923,WSDW,Agulhas-Cape basin,2.96,0.0001524831081081081,0.0036057263513513517,0.010078986486486486,0.010928462837837839,0.00111375,0.002529527027027027,0.022100827702702705,0.017866722972972975,0.024547347972972977,0.01006125,0.02613820945945946,0.01870783783783784,0.02458545608108108,0.033265945945945945,0.007734679054054054,0.002950591216216216,5.787162162162162e-05,0.023483766891891893,0.022850979729729732,0.007830962837837838,0.0002813006756756757,0.007033023648648649,0.006957820945945946,0.013827618243243243,0.020804949324324324,0.02089231418918919,0.01576712837837838,0.009374898648648648
SRR3965586,50,0.2,Indian Ocean,Indian,-4002,39.89,-33.55,34.7402,0.851,199.1923,WSDW,Agulhas-Cape basin,3.11,0.0001522186495176849,0.0017240836012861738,0.009382524115755627,0.016414919614147913,0.0012822347266881029,0.004126254019292604,0.019049807073954986,0.022453938906752412,0.020124694533762057,0.009118697749196141,0.027835225080385852,0.0202517845659164,0.024282636655948556,0.035935514469453374,0.0072818488745980715,0.0024863826366559485,0.00012192926045016078,0.018581768488745983,0.020880192926045017,0.011977234726688104,0.0003777974276527331,0.007427700964630225,0.006975,0.009089228295819936,0.03293416398713826,0.016973922829581996,0.019049035369774918,0.0046394855305466245
SRR3964650,53,0.8,Indian Ocean,Indian,-3500,63.2478,-27.9783,34.7241,1.3208,164.9308,CDW,Madagascar basin,3.6,8.387499999999999e-05,0.002139166666666667,0.006106208333333333,0.006858083333333332,0.0006415,0.0015787083333333334,0.014414958333333332,0.011352916666666666,0.013126249999999999,0.005841875,0.017101083333333333,0.011354666666666666,0.015494458333333332,0.02150775,0.004420291666666667,0.0018644166666666666,5.004166666666666e-05,0.014614333333333333,0.0141165,0.005094083333333333,0.00017045833333333333,0.004361916666666666,0.004331041666666666,0.00878425,0.013537416666666666,0.012438166666666667,0.009701375,0.005605583333333333
SRR3963982,53,0.2,Indian Ocean,Indian,-3500,63.2478,-27.9783,34.7241,1.3208,164.9308,CDW,Madagascar basin,3.43,0.00022027696793002914,0.0027533527696793,0.010810670553935859,0.017007725947521864,0.0015521720116618075,0.0043152769679300285,0.023661690962099125,0.02206460641399417,0.0226416472303207,0.01073737609329446,0.03006634110787172,0.021202827988338193,0.026412026239067053,0.0384139941690962,0.008448586005830904,0.0031883965014577256,0.00012686588921282798,0.01859134110787172,0.023448148688046646,0.010513819241982508,0.00028889212827988336,0.0072899125364431485,0.007713192419825073,0.011123309037900873,0.02924527696793003,0.01748020408163265,0.019284927113702624,0.006703862973760933
